City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Flinders,AU,-34.5833,150.8552,75.99,60,6,5.01,clear sky
160,Roma,US,43.2128,-75.4557,43.0,87,90,18.41,mist
161,La Ronge,CA,55.1001,-105.2842,23.0,63,100,6.91,overcast clouds
162,Nassau,US,40.7507,-73.5829,73.4,31,1,28.77,clear sky
163,Elbrus,RU,43.2577,42.6443,11.07,78,27,1.97,scattered clouds
164,Beckley,US,37.7782,-81.1882,68.0,37,1,6.91,clear sky
165,Inta,RU,66.0317,60.1659,14.56,95,100,10.07,light snow
166,Victoria,HK,22.2855,114.1577,73.0,87,100,10.45,overcast clouds
167,Santa Cruz De La Palma,ES,28.6835,-17.7642,69.8,49,90,3.44,overcast clouds
168,Lasa,IT,46.6166,10.7002,50.0,87,0,2.42,clear sky
169,Rapid Valley,US,44.0625,-103.1463,43.0,65,90,17.27,overcast clouds
170,Boguchany,RU,58.3814,97.4531,17.53,96,93,3.49,light snow
171,Geraldton,AU,-28.7667,114.6,59.0,88,2,11.5,clear sky
172,Francistown,BW,-21.17,27.5079,66.49,37,2,3.38,clear sky
173,Carnarvon,AU,-24.8667,113.6333,73.4,73,100,10.36,overcast clouds
174,Ler,SS,8.3018,30.1418,85.53,44,99,7.45,overcast clouds
175,Tuatapere,NZ,-46.1333,167.6833,62.01,74,100,5.01,light rain
176,Sinnamary,GF,5.3833,-52.95,77.86,83,30,10.6,scattered clouds
177,Mar Del Plata,AR,-38.0023,-57.5575,64.99,88,90,28.77,mist
178,Hamilton,US,39.1834,-84.5333,55.99,71,75,8.05,broken clouds
179,Vao,NC,-22.6667,167.4833,78.3,74,16,13.02,few clouds
180,Sarangani,PH,5.4033,125.4636,81.37,75,100,3.78,overcast clouds
181,Westport,US,41.1415,-73.3579,71.6,33,1,20.71,haze
182,Riberalta,BO,-10.9833,-66.1,77.0,94,75,2.3,broken clouds
183,Qaqortoq,GL,60.7167,-46.0333,5.0,56,0,8.05,clear sky
184,Deputatskiy,RU,69.3,139.9,0.21,70,100,0.67,overcast clouds
185,Longyearbyen,SJ,78.2186,15.6401,17.6,73,20,24.16,few clouds
186,Jamestown,US,42.097,-79.2353,43.0,93,90,12.3,overcast clouds
187,Tiznit,MA,29.5833,-9.5,70.2,13,91,24.38,overcast clouds
188,Cap Malheureux,MU,-19.9842,57.6142,75.0,86,18,1.88,few clouds
189,Manggar,ID,-2.8833,108.2667,78.98,83,100,1.1,overcast clouds
190,Shenjiamen,CN,29.9576,122.298,57.72,98,88,16.46,light rain
191,Korla,CN,41.7597,86.1469,53.73,32,100,6.67,overcast clouds
192,Veraval,IN,20.9,70.3667,79.18,43,1,11.3,clear sky
193,Okhotsk,RU,59.3833,143.3,3.72,84,37,6.11,scattered clouds
194,Cervo,ES,43.6702,-7.4101,36.0,99,72,1.01,broken clouds
195,Qasigiannguit,GL,68.8193,-51.1922,-11.2,44,10,8.05,clear sky
196,Arkadak,RU,51.9326,43.4978,33.37,98,100,7.76,overcast clouds
197,Ojinaga,MX,29.5667,-104.4167,86.0,3,1,11.5,clear sky
198,Tomatlan,MX,19.9333,-105.25,80.49,36,96,10.33,overcast clouds
199,Hualmay,PE,-11.0964,-77.6139,70.59,80,46,7.83,scattered clouds
200,Clyde River,CA,70.4692,-68.5914,-14.8,70,75,5.35,broken clouds
201,Araouane,ML,18.9048,-3.5265,72.3,6,0,11.05,clear sky
202,Mackenzie,CA,55.2999,-123.1698,39.2,60,90,6.91,overcast clouds
203,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.77,85,18,9.08,few clouds
204,Yellowknife,CA,62.456,-114.3525,16.0,67,20,11.5,few clouds
205,Nouadhibou,MR,20.931,-17.0347,64.4,88,20,14.97,few clouds
206,Rorvik,NO,64.8621,11.2373,42.93,70,99,24.36,overcast clouds
207,Smolenskaya,RU,44.7887,38.8018,37.99,100,0,4.47,clear sky
208,Ixtapa,MX,20.7,-105.2,75.2,64,40,13.8,scattered clouds
209,Lebu,CL,-37.6167,-73.65,55.8,77,0,19.98,clear sky
210,Ulverstone,AU,-41.15,146.1667,61.0,69,94,5.01,overcast clouds
211,Kachug,RU,53.9606,105.8817,22.69,93,100,4.27,overcast clouds
212,Puri,IN,19.8,85.85,78.8,94,75,9.95,mist
213,Kodinar,IN,20.7903,70.7031,79.3,34,1,7.49,clear sky
214,Guerrero Negro,MX,27.9769,-114.0611,61.86,53,0,17.31,clear sky
215,Kahului,US,20.8947,-156.47,84.2,61,40,17.27,scattered clouds
216,Sobolevo,RU,54.4299,31.8996,32.9,98,100,3.06,overcast clouds
217,Pacific Grove,US,36.6177,-121.9166,69.8,30,1,8.05,clear sky
218,Banda Aceh,ID,5.5577,95.3222,78.89,82,100,10.42,light rain
219,Vicente Guerrero,MX,19.1194,-98.1708,78.8,15,20,11.5,few clouds
220,Livingston,GB,55.9029,-3.5226,37.4,81,20,11.5,few clouds
221,Sulangan,PH,11.1373,123.7228,81.27,77,81,10.85,broken clouds
222,Aklavik,CA,68.2191,-135.0107,-0.4,65,92,9.22,overcast clouds
223,Okha,RU,53.5739,142.9478,18.84,85,57,6.87,broken clouds
224,Arona,ES,28.0996,-16.681,66.99,77,20,13.8,few clouds
225,Cabinda,AO,-5.55,12.2,77.72,83,100,4.21,overcast clouds
226,Sisophon,KH,13.5859,102.9737,81.59,71,100,6.29,overcast clouds
227,Lubango,AO,-14.9172,13.4925,60.19,93,100,2.17,overcast clouds
228,Boende,CD,-0.2167,20.8667,68.68,98,98,0.92,overcast clouds
229,Sorland,NO,67.667,12.6934,40.68,78,100,21.3,overcast clouds
230,Tecoh,MX,20.75,-89.4667,95.0,29,75,18.41,broken clouds
231,Tam Ky,VN,15.5667,108.4833,75.2,94,75,2.3,mist
232,Manavalakurichi,IN,8.1333,77.3,82.4,78,40,7.18,mist
233,Tiarei,PF,-17.5333,-149.3333,82.4,69,40,11.5,light rain
234,Beloha,MG,-25.1667,45.05,71.85,85,1,5.35,clear sky
